path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-01.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-010.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0100.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-01000.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0101.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0102.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0103.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0104.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0105.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0106.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0107.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0108.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0109.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-011.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0110.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0111.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0112.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0113.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0114.cnf,SAT,0.003,5,0
benchmarks/satlib/uf100-430/uf100-0115.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0116.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0117.cnf,SAT,0.001,1,0
benchmarks/satlib/uf100-430/uf100-0118.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0119.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-012.cnf,SAT,0.001,2,0
