path,verdict,seconds,restarts,deleted
benchmarks/satlib/uf100-430/uf100-01.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-010.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0100.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-01000.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0101.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0102.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0103.cnf,SAT,0.006,12,0
benchmarks/satlib/uf100-430/uf100-0104.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0105.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0106.cnf,SAT,0.004,9,0
benchmarks/satlib/uf100-430/uf100-0107.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0108.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0109.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-011.cnf,SAT,0.005,11,0
benchmarks/satlib/uf100-430/uf100-0110.cnf,SAT,0.005,10,0
benchmarks/satlib/uf100-430/uf100-0111.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0112.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0113.cnf,SAT,0.006,13,0
benchmarks/satlib/uf100-430/uf100-0114.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0115.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0116.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0117.cnf,SAT,0.005,8,0
benchmarks/satlib/uf100-430/uf100-0118.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0119.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-012.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0120.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0121.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0122.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0123.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0124.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0125.cnf,SAT,0.005,10,0
benchmarks/satlib/uf100-430/uf100-0126.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0127.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0128.cnf,SAT,0.014,16,976
benchmarks/satlib/uf100-430/uf100-0129.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-013.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0130.cnf,SAT,0.005,10,0
benchmarks/satlib/uf100-430/uf100-0131.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0132.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0133.cnf,SAT,0.008,13,0
benchmarks/satlib/uf100-430/uf100-0134.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0135.cnf,SAT,0.001,5,0
benchmarks/satlib/uf100-430/uf100-0136.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0137.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0138.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0139.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-014.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0140.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0141.cnf,SAT,0.010,14,0
benchmarks/satlib/uf100-430/uf100-0142.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0143.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0144.cnf,SAT,0.006,12,0
benchmarks/satlib/uf100-430/uf100-0145.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0146.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0147.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0148.cnf,SAT,0.004,8,0
benchmarks/satlib/uf100-430/uf100-0149.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-015.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0150.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0151.cnf,SAT,0.003,7,0
benchmarks/satlib/uf100-430/uf100-0152.cnf,SAT,0.015,18,980
benchmarks/satlib/uf100-430/uf100-0153.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0154.cnf,SAT,0.004,9,0
benchmarks/satlib/uf100-430/uf100-0155.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0156.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0157.cnf,SAT,0.000,2,0
benchmarks/satlib/uf100-430/uf100-0158.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0159.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-016.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0160.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0161.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0162.cnf,SAT,0.005,9,0
benchmarks/satlib/uf100-430/uf100-0163.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0164.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0165.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0166.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0167.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0168.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0169.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-017.cnf,SAT,0.009,14,0
benchmarks/satlib/uf100-430/uf100-0170.cnf,SAT,0.007,13,0
benchmarks/satlib/uf100-430/uf100-0171.cnf,SAT,0.004,7,0
benchmarks/satlib/uf100-430/uf100-0172.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0173.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0174.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0175.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0176.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0177.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0178.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0179.cnf,SAT,0.001,5,0
benchmarks/satlib/uf100-430/uf100-018.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0180.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0181.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0182.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0183.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0184.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0185.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0186.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0187.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0188.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0189.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-019.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0190.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0191.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0192.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0193.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0194.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0195.cnf,SAT,0.004,9,0
benchmarks/satlib/uf100-430/uf100-0196.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0197.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0198.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0199.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-02.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-020.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0200.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0201.cnf,SAT,0.000,1,0
benchmarks/satlib/uf100-430/uf100-0202.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0203.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0204.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0205.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0206.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-0207.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0208.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0209.cnf,SAT,0.004,9,0
benchmarks/satlib/uf100-430/uf100-021.cnf,SAT,0.002,6,0
benchmarks/satlib/uf100-430/uf100-0210.cnf,SAT,0.007,13,0
benchmarks/satlib/uf100-430/uf100-0211.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0212.cnf,SAT,0.004,9,0
benchmarks/satlib/uf100-430/uf100-0213.cnf,SAT,0.001,3,0
benchmarks/satlib/uf100-430/uf100-0214.cnf,SAT,0.002,4,0
benchmarks/satlib/uf100-430/uf100-0215.cnf,SAT,0.000,0,0
benchmarks/satlib/uf100-430/uf100-0216.cnf,SAT,0.001,2,0
benchmarks/satlib/uf100-430/uf100-0217.cnf,SAT,0.002,5,0
benchmarks/satlib/uf100-430/uf100-0218.cnf,SAT,0.001,4,0
benchmarks/satlib/uf100-430/uf100-0219.cnf,SAT,0.003,6,0
benchmarks/satlib/uf100-430/uf100-022.cnf,SAT,0.010,14,0
benchmarks/satlib/uf100-430/uf100-0220.cnf,SAT,0.000,0,0
